time,Date,year,nets
0,2000,0,0
365,2001,1,213150
730,2002,2,700000
1095,2003,3,900000
1460,2004,4,1200000
1825,2005,5,1500000
2190,2006,6,2300000
2555,2007,7,1600000
2920,2008,8,1800000
3285,2009,9,2400000
3650,2010,10,1900000
4015,2011,11,2100000
4380,2012,12,2500000
4745,2013,13,3362588
5110,2014,14,6368026
5475,2015,15,1506206
5840,2016,16,1292400
6205,2017,17,10759947
6570,2018,18,689288
6935,2019,19,1024635
7300,2020,20,6179374
7665,2021,21,821850
8030,2022,22,916872
8395,2023,23,14273122
8760,2024,24,1887905
9125,2025,25,2564644
9490,2026,26,2953965
9855,2027,27,6313147
10220,2028,28,3357532
10585,2029,29,8311742
10950,2030,30,5554338
11315,2031,31,3730458
11680,2032,32,5014102
12045,2033,33,6224082
12410,2034,34,4867469
